ruc	registrado	nombre_ppa	fecha_consulta
20352417018	true	COOPERATIVA AGRARIA DE CACAOTEROS TECNIFICADOS DE PADRE ABAD	2026-09-20T00:32:24.606Z
20352423921	true	COOPERATIVA AGRARIA CAFETALERA DIVISORIA LTDA	2026-09-20T00:32:24.606Z
20365575674	true	COMUNIDAD CAMPESINA SAN ANTONIO DE RANCAS	2026-09-20T00:32:24.606Z
20393152207	true	COOPERATIVA AGRO INDUSTRIAL APCTVASH	2026-09-20T00:32:24.606Z
20393335620	true	ASOCIACIÓN DE PRODUCTORES ECOLÓGICOS DEL CASERÍO SAN CRISTÓBAL DE AGUA BLANCA	2026-09-20T00:32:24.606Z
20393415062	true	ASOCIACION AGROINDUSTRIAS PROGRESO	2026-09-20T00:32:24.606Z
20393449471	true	CENTRO UNICO DE AGRICULTORES PLATANEROS DE LA PROVINCIA DE PADRE ABAD	2026-09-20T00:32:24.606Z
20393576660	true	ASOCIACION DE PRODUCTORES ECOLOGICOS EL PIMENTAL	2026-09-20T00:32:24.606Z
20393593670	true	COMITE CENTRAL CON DESARROLLO AL FUTURO DE CURIMANA	2026-09-20T00:32:24.606Z
20393692228	true	COOPERATIVA AGRARIA CACAOTERA SAN ALEJANDRO LTDA	2026-09-20T00:32:24.606Z
20393757290	true	ASOCIACION DE AGRICULTORES DEL CENTRO POBLADO SAN JOSE DE YARINACOCHA	2026-09-20T00:32:24.606Z
20393786044	true	COOPERATIVA AGRARIA CAFETALERA COORDILLERA AZUL DE UCAYALI LTDA	2026-09-20T00:32:24.606Z
20393816211	true	COOPERATIVA AGRARIA SAN JUAN BAUTISTA	2026-09-20T00:32:24.606Z
20393882868	true	COOPERATIVA AGRARIA ASCAH	2026-09-20T00:32:24.606Z
20393972000	true	ASOCIACION DE MUJERES EMPRENDEDORAS FLOR DE BOQUERON	2026-09-20T00:32:24.606Z
20393981173	true	ASOCIACION DE PRODUCTORES AGRARIOS SANTA ELENA	2026-09-20T00:32:24.606Z
20402648504	true	COOPERATIVA AGRARIA KIVINAKI	2026-09-20T00:32:24.606Z
20404057805	true	COOPERATIVA AGRARIA ACOPAGRO LTDA	2026-09-20T00:32:13.550Z
20406542671	true	SOCIEDAD PERUANA DE CRIADORES DE ALPACAS Y LLAMAS DE MACUSANI	2026-09-20T00:32:24.606Z
20407808666	true	COOPERATIVA AGRARIA PURIFOR - COOP PURIFOR	2026-09-20T00:32:24.606Z
20447686407	true	ASOCIACION DE PRODUCTORES DE PIÑA DEL VALLE DE SAN GABAN	2026-09-20T00:32:24.606Z
